"","Preço_do_Produto","Unidades_Vendidas","Média_da_Nota_do_Produto","Quantidade_de_Avaliações","Preço_de_Varejo","Média_de_Nota_do_Vendedor","Quantidade_de_Avaliações_do_Vendedor"
"1",16,100,3.76,54,14,4.12852112676056,568
"2",8,20000,3.45,6135,22,3.89967327625056,17752
"3",8,100,3.57,14,43,3.98983050847458,295
"4",8,5000,4.03,579,8,4.02043470963411,23832
"5",2.72,100,3.1,20,3,4.00158817842839,14482
"6",3.92,10,5,1,9,3.50769230769231,65
"7",7,50000,3.84,6742,6,4.07651559741024,10194
"8",12,1000,3.76,286,11,3.6812865497076,342
"9",11,100,3.47,15,84,3.8030303030303,330
"10",5.78,5000,3.6,687,22,3.99981929887965,5534
"11",5.79,1000,3.46,613,5,3.95681098204857,9470
"12",6,100,3.31,13,8,3.98378378378378,3515
"13",1.91,1000,3.45,141,6,4.12387791741472,557
"14",5.79,1000,3.32,121,42,3.94747196537478,5083
"15",2,20000,3.65,2457,2,4.13888538532226,55499
"16",11,1000,3.92,426,81,4.06632640105635,39381
"17",11,10000,3.72,2058,10,3.95842589654078,6302
"18",5,100000,3.83,17980,25,3.93358137664035,139223
"19",9,20000,3.82,5479,9,4.08162433790574,22089
"20",7,1000,3.67,214,7,4.06236080178174,3592
"21",11,5000,3.84,1183,10,4.25659706044305,23609
"22",5,20000,3.6,3552,6,3.9813366374971,12913
"23",11,1000,3.38,72,26,4.23184233835252,4516
"24",7,5000,3.67,510,6,4.2646585018278,96838
"25",5.71,1000,3.75,678,5,4.00669222029391,80093
"26",9,1000,4.15,567,32,4.11005854177754,9395
"27",9,1000,4.03,216,9,4.22940902745463,4298
"28",5.65,20000,4.29,2996,5,4.01748772683975,40943
"29",1.74,100,4.25,12,2,3.83151394861616,18138
"30",5.65,1000,4.06,301,6,4.06027864657378,7034
"31",14,100,4.06,31,76,3.96826880024918,51369
"32",5.65,1000,4.37,217,6,4.0659053906372,44837
"33",8,1000,3.81,443,7,3.87080924855491,3460
"34",2.66,5000,3.44,1136,3,4.30636280618823,223392
"35",9,10000,3.8,1231,8,3.86754716981132,10600
"36",11,1000,4.16,274,10,4.00014341029686,13946
"37",8,100,2.75,8,17,4.02536420666514,47981
"38",14,5000,4.06,643,12,4.00669222029391,80093
"39",5.8,100,3.83,6,8,3.92085299563945,16741
"40",13,1000,4.16,138,13,3.9813366374971,12913
"41",9,50000,4.26,5359,81,4.10505422480489,59198
"42",7,10,1.5,2,68,3.85894206549118,397
"43",12,100,3.79,24,14,4.02040816326531,196
"44",3.69,100,3.53,59,40,4.3648438215627,10917
"45",5,10000,3.82,3208,5,4.15139530585844,27055
"46",5.84,100,3.28,36,56,4.01748772683975,40943
"47",16,10,3,3,14,3.54838709677419,31
"48",13,1000,4.03,855,50,4.08570490367776,9136
"49",9,10000,3.18,1783,8,3.90853542104258,10474
"50",7,100,3.8,61,6,4.21638599783678,139607
"51",11,100,3.43,14,20,4.17467948717949,3120
"52",5.84,1000,4.19,307,11,4.17278596896984,10377
"53",1,1000,3.8,5,11,3.85811882395999,8197
"54",11,1000,3.38,37,60,3.9601706970128,703
"55",9,5000,4.03,889,8,4.10884906013864,16013
"56",6,1000,3.5,938,56,3.87669997745886,13309
"57",1,100,3.56,52,10,3.83793694273772,91631
"58",9,5000,4.06,743,8,3.99937140370388,20681
"59",6,100,4,8,6,3.8740157480315,127
"60",11,1000,4.13,211,68,4.21522807622661,11597
"61",7,50,4,4,6,4.35294117647059,34
"62",5,50,5,2,38,3.66666666666667,9
"63",2.72,100,3.1,20,3,4.00158817842839,14482
"64",5.87,1000,3.91,209,11,4.39130434782609,6187
"65",11,5000,3.72,1008,10,4.26800226189514,61895
"66",8,100,2.71,7,10,3.89285714285714,224
"67",14,1000,3.81,187,67,4.15075630252101,11900
"68",2,100,3.47,32,9,4.16762767710049,4856
"69",8,10000,3.93,1670,7,4.13758177780445,66644
"70",5.79,1000,3.41,212,30,4.18984389872454,21012
"71",8,100,3.74,47,22,3.87676160733698,50593
"72",4.94,10000,3.93,1331,5,4.12148374348841,55670
"73",8,10000,3.82,2520,7,3.87200997619318,8821
"74",11,100,3.46,50,10,4.30112048545498,225438
"75",8,10,5,0,33,4.16978609625668,1496
"76",9,50,4.5,4,33,4.12028105275694,8397
"77",7,100,4.26,53,6,3.83795620437956,2055
"78",11,10000,4.24,1045,10,4.28967391304348,9200
"79",8,100,3.56,16,92,3.96806105144149,7076
"80",5.83,10000,4.22,2055,5,4.14695734747171,126370
"81",8,1000,3.42,373,7,3.96520423600605,1322
"82",5.77,100,4,4,5,3.91574032903513,8996
"83",5.9,10000,3.64,1933,5,3.95181741335587,2366
"84",6,100,3.08,13,20,3.93119596541787,2776
"85",7,50000,4.41,17444,6,4.14695734747171,126370
"86",8,10000,3.7,1404,7,3.93752991862135,4178
"87",12,1000,3.81,341,11,4.15035587188612,2248
"88",5.78,20000,4,3975,8,4.18413424866514,6555
"89",12,5000,3.94,387,17,3.97826086956522,1288
"90",11,20000,4.07,3070,10,3.9657006320333,12974
"91",8,100,4.29,31,51,3.83253506671228,5846
"92",11,100,3.46,50,10,4.30112048545498,225438
"93",5.77,100000,4.1,20744,48,4.06734764909732,330405
"94",9,20000,3.7,3820,8,4.06464312928626,15748
"95",1.72,100,3.77,30,2,3.88454364585924,32168
"96",1.86,100,3.57,42,9,3.94301876379691,7248
"97",14,100,4.54,13,92,4.18518518518519,54
"98",3.69,1000,3.64,212,4,4.03912764592688,1559
"99",5.79,1000,3.32,121,42,3.94747196537478,5083
"100",11,100,4.11,28,30,4.21046011948433,9541
"101",9,100,3.18,72,8,3.72916666666667,288
"102",6,10000,3.96,1338,8,3.80168428005284,54504
"103",20,100,2.8,15,17,3.29850746268657,67
"104",5.66,5000,3.89,1161,5,4.28559773576544,99283
"105",8,100,3.97,29,65,3.88284518828452,239
"106",8,1000,3.61,668,7,4.09855721883002,40616
"107",6,1000,3.82,134,6,3.84477611940299,670
"108",11,5000,3.96,1556,10,4.2527114967462,4610
"109",7,1000,4.2,107,6,3.94331983805668,247
"110",11,10000,3.77,1694,10,4.00014341029686,13946
"111",5.81,100,2.61,18,30,3.8947606995807,26473
"112",14,10000,3.93,2946,12,3.88553776857995,32858
"113",5,10,5,0,51,3.98983050847458,295
"114",5,100,4.3,10,5,4.16797851652931,10799
"115",11,1000,4.12,249,10,3.85193013683391,8989
"116",12,10,3.67,3,67,4.00840336134454,238
"117",5.68,10,4.5,2,5,4.5125,160
"118",11,100,4,12,10,4.01465201465201,546
"119",17,10000,4.16,3040,15,4.35261237481562,12881
"120",7,100,3.71,21,43,3.87816699713593,9078
"121",12,50,4.75,4,85,4.17543859649123,57
"122",7,100,5,2,6,3.97073070184479,9703
"123",7,50,3,2,33,4.00154626913012,25222
"124",11,1000,4.11,135,59,4.05718540580789,6715
"125",12,100,3.59,27,43,3.94840902069818,3237
